X Y Z
-486454.218750 -1117326.750000 257.829987
-486469.843750 -1117448.625000 256.739990
-486463.343750 -1117401.250000 257.320007
-486464.968750 -1117427.750000 257.019989
-486455.125000 -1117358.250000 257.660004
-486454.125000 -1117363.625000 257.670013
-486463.437500 -1117440.750000 256.959991
-486448.718750 -1117360.625000 257.760010
-486450.312500 -1117375.500000 257.790009
-486455.000000 -1117414.125000 257.190002
-486459.906250 -1117457.750000 256.929993
-486452.968750 -1117406.250000 257.350006
-486452.562500 -1117432.750000 257.250000
-486447.843750 -1117404.250000 257.339996
-486454.781250 -1117468.625000 257.000000
-486445.250000 -1117398.125000 257.540009
-486447.343750 -1117422.125000 257.369995
-486446.593750 -1117427.250000 257.350006
-486447.375000 -1117434.750000 257.320007
-486441.656250 -1117421.000000 257.459991
-486443.187500 -1117446.875000 257.359985
-486442.093750 -1117467.250000 257.350006
-486511.187500 -1117373.625000 256.959991
-486491.812500 -1117332.625000 257.290009
-486487.531250 -1117344.500000 257.380005
-486485.625000 -1117335.875000 257.380005
-486486.531250 -1117360.875000 257.260010
-486484.531250 -1117367.625000 257.290009
-486484.906250 -1117373.875000 257.239990
-486480.406250 -1117348.750000 257.390015
-486487.062500 -1117410.000000 256.940002
-486478.625000 -1117369.875000 257.329987
-486485.531250 -1117426.125000 256.730011
-486472.843750 -1117334.750000 257.619995
-486478.187500 -1117381.000000 257.320007
-486474.281250 -1117357.000000 257.440002
-486475.406250 -1117375.500000 257.320007
-486481.593750 -1117424.375000 256.829987
-486482.562500 -1117446.625000 256.510010
-486472.000000 -1117368.500000 257.420013
-486469.375000 -1117352.250000 257.519989
-486476.312500 -1117406.625000 257.140015
-486478.468750 -1117461.000000 256.600006
-486479.812500 -1117471.375000 256.510010
-486474.593750 -1117435.250000 256.769989
-486475.625000 -1117451.750000 256.609985
-486462.750000 -1117375.375000 257.609985
-486469.625000 -1117435.250000 256.809998
-486459.968750 -1117364.125000 257.559998
-486457.468750 -1117346.500000 257.690002
-486563.281250 -1117383.250000 255.600006
-486558.625000 -1117355.250000 256.170013
-486554.343750 -1117347.500000 256.329987
-486554.968750 -1117359.000000 256.290009
-486551.468750 -1117376.875000 256.220001
-486548.968750 -1117382.500000 256.200012
-486541.750000 -1117342.750000 256.649994
-486542.281250 -1117363.375000 256.450012
-486541.500000 -1117358.500000 256.540009
-486537.156250 -1117360.125000 256.570007
-486533.000000 -1117346.625000 256.850006
-486535.875000 -1117369.125000 256.429993
-486529.062500 -1117378.375000 256.579987
-486525.406250 -1117355.250000 256.790009
-486521.343750 -1117350.125000 256.910004
-486516.687500 -1117352.250000 256.940002
-486511.843750 -1117336.500000 257.230011
-486609.656250 -1117346.250000 254.779999
-486617.718750 -1117408.875000 253.509995
-486626.875000 -1117479.875000 250.699997
-486613.343750 -1117379.250000 254.179993
-486619.125000 -1117428.875000 253.289993
-486622.781250 -1117457.250000 251.160004
-486617.062500 -1117415.250000 253.490005
-486617.125000 -1117416.500000 253.500000
-486624.593750 -1117482.875000 250.929993
-486624.781250 -1117484.625000 250.860001
-486616.187500 -1117421.000000 253.339996
-486608.500000 -1117363.500000 254.509995
-486609.156250 -1117373.000000 254.419998
-486621.343750 -1117468.625000 250.880005
-486619.437500 -1117458.875000 251.199997
-486616.000000 -1117433.750000 253.039993
-486621.937500 -1117480.375000 251.119995
-486620.593750 -1117475.250000 251.020004
-486603.875000 -1117356.125000 254.860001
-486608.906250 -1117402.375000 253.919998
-486609.656250 -1117412.875000 253.679993
-486610.718750 -1117428.250000 253.660004
-486607.656250 -1117410.750000 253.820007
-486616.000000 -1117479.125000 251.330002
